Clave,Estado,Municipio,Poblacion
31102,Yucatán,Valladolid,68863
16035,Michoacán,La Huacana,31774
7013,Chiapas,Bochil,26446
11026,Guanajuato,Romita,50580
32042,Zacatecas,Sombrerete,58201
15051,México,Lerma,105578
28038,Tamaulipas,Tampico,303924
19026,Nuevo León,Guadalupe,691931
12075,Guerrero,Eduardo Neri,40328
17006,Morelos,Cuautla,160285
21074,Puebla,Huejotzingo,59822
11032,Guanajuato,San José Iturbide,59217
20515,Oaxaca,Santo Domingo Tehuantepec,57163
21085,Puebla,Izúcar de Matamoros,69413
21053,Puebla,Chignahuapan,51536
24053,San Luis Potosí,Axtla de Terrazas,32721
1005,Aguascalientes,Jesús María,82623
31019,Yucatán,Chemax,30023
30085,Veracruz,Ixtaczoquitlán,60605
7102,Chiapas,Tuxtla Chico,34101
23006,Quintana Roo,José María Morelos,32746
20324,Oaxaca,San Pedro Pochutla,38798
30183,Veracruz,Tlapacoyan,54321
5033,Coahuila,San Pedro,93677
21115,Puebla,Quecholac,42479
21199,Puebla,Xiutetelco,34575
9003,Distrito Federal,Coyoacán,628063
24029,San Luis Potosí,San Martín Chalchicuautla,21576
25018,Sinaloa,Navolato,135681
11011,Guanajuato,Cortazar,83175
11019,Guanajuato,Jerécuaro,46137
16006,Michoacán,Apatzingán,115078
30128,Veracruz,Perote,61272
15108,México,Tultepec,110145
14008,Jalisco,Arandas,80193
24032,San Luis Potosí,Santa María del Río,37290
14023,Jalisco,Zapotlán el Grande,96050
22011,Querétaro,El Marqués,79743
21015,Puebla,Amozoc,78452
15091,México,Teoloyucán,73696
10034,Durango,Tamazula,25888
25014,Sinaloa,Rosario,47394
15032,México,Donato Guerra,29621
20057,Oaxaca,Matías Romero Avendaño,38421
15048,México,Jocotitlán,55403
30038,Veracruz,Coatepec,79787
16017,Michoacán,Contepec,30696
7037,Chiapas,Huehuetán,30450
15020,México,Coacalco de Berriozábal,285943
7046,Chiapas,Jiquipilas,35831
20002,Oaxaca,Acatlán de Pérez Figueroa,42347
25007,Sinaloa,Choix,31763
13011,Hidalgo,Atlapexco,18769
15112,México,Villa del Carbón,39587
26029,Sonora,Guaymas,134153
7005,Chiapas,Amatán,19637
5018,Coahuila,Monclova,200160
15110,México,Valle de Bravo,52902
7006,Chiapas,Amatenango de la Frontera,25346
11029,Guanajuato,San Diego de la Unión,34401
13048,Hidalgo,Pachuca de Soto,275578
17018,Morelos,Temixco,98560
28033,Tamaulipas,Río Bravo,106842
20482,Oaxaca,Santiago Pinotepa Nacional,44441
30025,Veracruz,Ayahualulco,23431
4006,Campeche,Hopelchén,34687
32039,Zacatecas,Río Grande,57708
20059,Oaxaca,Miahuatlán de Porfirio Díaz,32185
27017,Tabasco,Tenosique,55601
7103,Chiapas,Tuzantán,24417
20190,Oaxaca,San Juan Cotzocón,22478
12059,Guerrero,Tepecoacuilco de Trujano,28989
15054,México,Metepec,206005
16038,Michoacán,Huetamo,41239
27011,Tabasco,Jonuta,28403
16009,Michoacán,Ario,31647
