Clave,Estado,Municipio,Poblacion,I_Rezago
20554,Oaxaca,Totontepec Villa de Morelos,4780,1.404491
30180,Veracruz,Tlachichilco,10729,1.400204
20335,Oaxaca,San Pedro Yaneri,943,1.396093
30198,Veracruz,Zacualpan,6717,1.389967
13062,Hidalgo,Tepehuacán de Guerrero,27240,1.388106
20020,Oaxaca,Constancia del Rosario,3796,1.385836
30008,Veracruz,Alpatláhuac,8988,1.380145
20117,Oaxaca,San Bartolomé Loxicha,2617,1.379066
20344,Oaxaca,San Sebastián Coatlán,2509,1.377095
31049,Yucatán,Mayapán,2972,1.376523
20328,Oaxaca,San Pedro Taviche,1076,1.368737
21058,Puebla,Chilchotla,18303,1.36473
20210,Oaxaca,San Juan Ñumí,5796,1.363454
20003,Oaxaca,Asunción Cacalotepec,2095,1.363221
7010,Chiapas,Bejucal de Ocampo,6612,1.358938
20207,Oaxaca,San Juan Mazatlán,16138,1.35891
20485,Oaxaca,Santiago Tapextla,2810,1.358328
7094,Chiapas,Teopisca,32368,1.353264
20492,Oaxaca,Santiago Tilantongo,3348,1.344055
7076,Chiapas,Sabanilla,23675,1.339695
21120,Puebla,San Antonio Cañada,4518,1.33796
20202,Oaxaca,San Juan Lachao,3936,1.334184
20532,Oaxaca,Santo Tomás Ocotepec,3789,1.332466
10037,Durango,Topia,7984,1.325805
21006,Puebla,Ahuacatlán,13745,1.325151
20152,Oaxaca,San Francisco Tlapancingo,1235,1.319574
20195,Oaxaca,San Juan Diuxi,1280,1.313513
16101,Michoacán,Tzitzio,9394,1.306875
20379,Oaxaca,Santa Cruz Nundaco,2692,1.305402
30027,Veracruz,Benito Juárez,16446,1.301649
7058,Chiapas,Nicolás Ruíz,3935,1.30002
20347,Oaxaca,San Sebastián Río Hondo,3069,1.295039
30155,Veracruz,Tantoyuca,97949,1.292421
7067,Chiapas,Pantepec,9785,1.290828
21028,Puebla,Camocuautla,2207,1.288668
21068,Puebla,Hermenegildo Galeana,7560,1.280391
20382,Oaxaca,Santa Cruz Tacahua,1141,1.279975
20351,Oaxaca,San Simón Almolongas,1847,1.279631
30156,Veracruz,Tatatila,5273,1.275546
31010,Yucatán,Cantamayec,2283,1.274051
20451,Oaxaca,Santiago Apoala,815,1.268983
16008,Michoacán,Aquila,20898,1.267336
20274,Oaxaca,San Miguel Piedras,1375,1.262875
20220,Oaxaca,San Juan Tepeuxila,2914,1.261449
21183,Puebla,Tlaola,19010,1.258329
20182,Oaxaca,San Juan Bautista Tlacoatzintepec,2241,1.247695
12024,Guerrero,Cualác,6816,1.246208
21080,Puebla,Atlequizayán,3039,1.245265
21010,Puebla,Ajalpan,54740,1.244483
12036,Guerrero,Igualapa,10312,1.238918
7070,Chiapas,El Porvenir,12831,1.234738
15114,México,Villa Victoria,77819,1.23446
20510,Oaxaca,Santo Domingo Ixcatlán,1582,1.232071
20279,Oaxaca,San Miguel Suchixtepec,2694,1.227534
30050,Veracruz,Coxquihui,14942,1.224429
7098,Chiapas,Totolapa,5839,1.221589
20209,Oaxaca,San Juan Mixtepec - Dto. 26 -,903,1.220537
30212,Veracruz,Santiago Sochiapan,7639,1.220212
7072,Chiapas,Pueblo Nuevo Solistahuacá,27832,1.218984
20017,Oaxaca,La Compañía,3367,1.218767
20136,Oaxaca,San Felipe Usila,11642,1.218605
20232,Oaxaca,San Lucas Ojitlán,19871,1.218178
20264,Oaxaca,San Miguel Chicahua,2035,1.217839
7114,Chiapas,Benemérito de las América,15213,1.216037
20420,Oaxaca,Santa María Lachixío,1454,1.209887
30098,Veracruz,Magdalena,2649,1.20812
20252,Oaxaca,San Mateo Peñasco,1732,1.207328
7080,Chiapas,Siltepec,35871,1.206762
20500,Oaxaca,Santiago Yosondúa,7197,1.20663
20561,Oaxaca,Yaxe,2442,1.206293
20213,Oaxaca,San Juan Quiahije,4154,1.203942
20124,Oaxaca,San Blas Atempa,16899,1.200089
20088,Oaxaca,San Andrés Cabecera Nueva,2529,1.199697
7036,Chiapas,La Grandeza,6723,1.199318
12073,Guerrero,Zirándaro,20053,1.198779
12003,Guerrero,Ajuchitlán del Progreso,37475,1.198038
14019,Jalisco,Bolaños,5019,1.19052
7004,Chiapas,Altamirano,24725,1.179785
20526,Oaxaca,Santos Reyes Nopala,14504,1.177901
24026,San Luis Potosí,San Antonio,9274,1.177795
20163,Oaxaca,San Jerónimo Tecóatl,1522,1.174277
20384,Oaxaca,Santa Cruz Xitla,3933,1.172925
20353,Oaxaca,Santa Ana,1697,1.172921
13078,Hidalgo,Xochiatipan,18157,1.172287
20423,Oaxaca,Santa María Nduayaco,568,1.171822
25003,Sinaloa,Badiraguato,32295,1.16969
20412,Oaxaca,Santa María Guienagati,2911,1.168527
7014,Chiapas,El Bosque,14932,1.16442
20072,Oaxaca,San José del Progreso,6164,1.163048
20131,Oaxaca,San Dionisio Ocotepec,9487,1.160088
12025,Guerrero,Cuautepec,14554,1.157501
20429,Oaxaca,Santa María Sola,1490,1.15682
21212,Puebla,Zautla,18567,1.155993
20125,Oaxaca,San Carlos Yautepec,9857,1.1535
30047,Veracruz,Coscomatepec,47013,1.150316
7075,Chiapas,Las Rosas,24969,1.149475
21202,Puebla,Xochitlán de Vicente Suárez,11744,1.14776
20469,Oaxaca,Santiago Juxtlahuaca,33401,1.145965
30104,Veracruz,Mecayapan,13633,1.14218
20521,Oaxaca,Santo Domingo Tonaltepec,291,1.140573
30057,Veracruz,Chiconquiaco,12516,1.136056
20498,Oaxaca,Santiago Yaveo,5503,1.134817
20105,Oaxaca,San Antonino Monte Verde,6482,1.131305
20255,Oaxaca,San Mateo Sindihui,1871,1.131205
20389,Oaxaca,Santa Inés Yatzeche,975,1.12835
20428,Oaxaca,Santa María Quiegolani,1537,1.128265
20199,Oaxaca,San Juan Ihualtepec,717,1.124349
30083,Veracruz,Ixhuatlán de Madero,48609,1.122355
20257,Oaxaca,San Melchor Betaza,919,1.122288
31017,Yucatán,Chankom,4340,1.120275
20060,Oaxaca,Mixistlán de la Reforma,2438,1.11642
20148,Oaxaca,San Francisco Ozolotepec,1835,1.116108
20480,Oaxaca,Santiago Nundiche,869,1.114539
15111,México,Villa de Allende,41938,1.114002
20330,Oaxaca,San Pedro Teutila,4139,1.11209
20364,Oaxaca,Santa Catarina Juquila,14380,1.102629
20393,Oaxaca,Santa Lucía Ocotlán,3580,1.10197
10019,Durango,Otáez,4543,1.09783
20233,Oaxaca,San Lucas Quiaviní,1769,1.096665
4010,Campeche,Calakmul,23814,1.093603
7117,Chiapas,Montecristo de Guerrero,6511,1.089282
30043,Veracruz,Comapa,16870,1.087852
20444,Oaxaca,Santa María Yolotepec,431,1.087759
31104,Yucatán,Yaxcabá,13909,1.086078
21121,Puebla,San Diego la Mesa Tochimiltzin,1281,1.081487
7073,Chiapas,Rayón,7965,1.079322
20104,Oaxaca,San Antonino el Alto,2445,1.074503
20319,Oaxaca,San Pedro Mixtepec - Dto. 26 -,1066,1.070499
20489,Oaxaca,Santiago Tetepec,4708,1.065542
7110,Chiapas,San Lucas,5918,1.058976
20099,Oaxaca,San Andrés Tepetlapa,485,1.057893
7041,Chiapas,La Independencia,36951,1.05575
20249,Oaxaca,San Mateo Yoloxochitlán,3294,1.053211
31092,Yucatán,Tixcacalcupul,6173,1.050126
30140,Veracruz,San Andrés Tenejapan,2488,1.048694
24057,San Luis Potosí,Matlapa,29548,1.048106
21162,Puebla,Tepango de Rodríguez,4118,1.04376
21039,Puebla,Cuautempan,8497,1.043488
20538,Oaxaca,Sitio de Xitlapehua,705,1.037601
20094,Oaxaca,San Andrés Nuxiño,1983,1.037202
30162,Veracruz,Tenampa,5646,1.033619
7109,Chiapas,Yajalón,31457,1.032147
13068,Hidalgo,Tianguistengo,13478,1.02567
8047,Chihuahua,Moris,5144,1.024081
20348,Oaxaca,San Sebastián Tecomaxtlahuaca,6916,1.020029
31021,Yucatán,Chichimilá,7439,1.017379
20154,Oaxaca,San Ildefonso Amatlán,2009,1.015871
