Clave,Estado,Municipio,Poblacion,P_PobrezaAlimentaria
20158,Oaxaca,San Jacinto Tlacotepec," 2,145 ",62.1
20069,Oaxaca,La Pe," 2,135 ",61.7
20003,Oaxaca,Asunci¢n Cacalotepec," 2,095 ",56.0
20425,Oaxaca,Santa Mar¡a P palo," 2,087 ",55.4
20264,Oaxaca,San Miguel Chicahua," 2,035 ",58.9
20187,Oaxaca,San Juan Coatz¢spam," 2,019 ",67.5
20154,Oaxaca,San Ildefonso Amatl n," 2,009 ",62.2
20139,Oaxaca,San Francisco Chapulapa," 1,968 ",68.6
20201,Oaxaca,San Juan Juquila Vijanos," 1,908 ",54.6
20255,Oaxaca,San Mateo Sindihui," 1,871 ",59.1
20167,Oaxaca,San Jos‚ del Pe¤asco," 1,863 ",61.7
20351,Oaxaca,San Sim¢n Almolongas," 1,847 ",56.2
20148,Oaxaca,San Francisco Ozolotepec," 1,835 ",77.5
20448,Oaxaca,Santa Mar¡a Zaniza," 1,818 ",79.4
20487,Oaxaca,Santiago Tenango," 1,782 ",56.2
20315,Oaxaca,San Pedro M rtir," 1,781 ",59.1
20162,Oaxaca,San Jer¢nimo Taviche," 1,750 ",69.5
20353,Oaxaca,Santa Ana," 1,697 ",60.5
20395,Oaxaca,Santa Mar¡a Apazco," 1,629 ",68.3
20438,Oaxaca,Santa Mar¡a Tlalixtac," 1,568 ",59.5
20428,Oaxaca,Santa Mar¡a Quiegolani," 1,537 ",54.8
20477,Oaxaca,Santiago Minas," 1,504 ",58.0
20420,Oaxaca,Santa Mar¡a Lachix¡o," 1,454 ",60.0
20465,Oaxaca,Santiago Ixcuintepec," 1,441 ",66.7
20236,Oaxaca,San Marcial Ozolotepec," 1,399 ",68.2
20274,Oaxaca,San Miguel Piedras," 1,375 ",61.9
20529,Oaxaca,Santos Reyes Yucun ," 1,322 ",78.0
20374,Oaxaca,Santa Cruz Acatepec," 1,301 ",68.0
20292,Oaxaca,San Pablo Cuatro Venados," 1,267 ",81.1
20142,Oaxaca,San Francisco Huehuetl n," 1,251 ",60.3
20270,Oaxaca,San Miguel Huautla," 1,237 ",76.0
20152,Oaxaca,San Francisco Tlapancingo," 1,235 ",55.9
20048,Oaxaca,Magdalena Mixtepec," 1,101 ",66.2
20328,Oaxaca,San Pedro Taviche," 1,076 ",62.8
20361,Oaxaca,Santa Catalina Quier¡, 992 ,70.6
20389,Oaxaca,Santa In‚s Yatzeche, 975 ,56.3
20512,Oaxaca,Santo Domingo Ozolotepec, 962 ,60.4
20335,Oaxaca,San Pedro Yaneri, 943 ,63.4
20522,Oaxaca,Santo Domingo Xagac¡a, 928 ,59.8
20257,Oaxaca,San Melchor Betaza, 919 ,54.8
20436,Oaxaca,Santa Mar¡a Texcatitl n, 911 ,57.4
20322,Oaxaca,San Pedro Ocopetatillo, 897 ,61.6
20304,Oaxaca,San Pedro Coxcaltepec C ntaros, 877 ,64.9
20514,Oaxaca,Santo Domingo Roayaga, 863 ,66.3
20313,Oaxaca,San Pedro Jocotipac, 821 ,56.6
20451,Oaxaca,Santiago Apoala, 815 ,69.5
20101,Oaxaca,San Andr‚s Zabache, 756 ,62.0
20228,Oaxaca,San Lorenzo Cuaunecuiltitla, 738 ,59.0
20288,Oaxaca,San Miguel Yotao, 632 ,65.7
20354,Oaxaca,Santa Ana Ateixtlahuaca, 572 ,66.4
20074,Oaxaca,Santa Catarina Quioquitani, 439 ,67.7
20311,Oaxaca,San Pedro Jaltepetongo, 271 ,71.3
20341,Oaxaca,San Pedro Yucunama, 244 ,57.4
21010,Puebla,Ajalpan," 54,740 ",59.1
21043,Puebla,Cuetzalan del Progreso," 45,781 ",58.7
21050,Puebla,Chichiquila," 23,072 ",82.4
21195,Puebla,Vicente Guerrero," 20,391 ",65.9
21116,Puebla,Quimixtl n," 19,609 ",65.5
21183,Puebla,Tlaola," 19,010 ",62.1
21217,Puebla,Zoquitl n," 18,688 ",62.5
21212,Puebla,Zautla," 18,567 ",59.3
21058,Puebla,Chilchotla," 18,303 ",57.0
21178,Puebla,Tlacuilotepec," 16,797 ",55.7
21072,Puebla,Huehuetla," 15,616 ",62.2
21006,Puebla,Ahuacatl n," 13,745 ",61.3
21049,Puebla,Chiconcuautla," 13,562 ",69.4
21089,Puebla,Jopala," 12,749 ",56.6
21145,Puebla,San Sebasti n Tlacotepec," 12,688 ",72.2
21036,Puebla,Coyomeapan," 12,614 ",69.9
21107,Puebla,Olintla," 12,104 ",55.7
21078,Puebla,Huitzilan de Serd n," 12,088 ",58.3
21086,Puebla,Jalpan," 12,070 ",60.3
21202,Puebla,Xochitl n de Vicente Su rez," 11,744 ",59.9
21061,Puebla,Eloxochitl n," 11,347 ",67.5
21075,Puebla,Hueyapan," 11,105 ",58.0
21100,Puebla,Naupan," 9,748 ",58.8
21167,Puebla,Tepetzintla," 9,442 ",62.1
21068,Puebla,Hermenegildo Galeana," 7,560 ",56.5
21084,Puebla,Ixtepec," 6,745 ",56.4
21184,Puebla,Tlapacoya," 6,034 ",59.9
21077,Puebla,Hueytlalpan," 4,661 ",60.1
21027,Puebla,Caltepec," 4,523 ",54.7
21120,Puebla,San Antonio Ca¤ada," 4,518 ",64.0
21215,Puebla,Zongozotla," 4,369 ",54.8
21123,Puebla,San Felipe Tepatl n," 4,309 ",56.4
21162,Puebla,Tepango de Rodr¡guez," 4,118 ",58.9
21080,Puebla,Atlequizay n," 3,039 ",56.8
21028,Puebla,Camocuautla," 2,207 ",56.5
24003,San Luis Potos¡,Aquism¢n," 45,074 ",69.8
24057,San Luis Potos¡,Matlapa," 29,548 ",61.3
24029,San Luis Potos¡,San Mart¡n Chalchicuautla," 21,576 ",69.8
24012,San Luis Potos¡,Tancanhuitz," 20,495 ",58.2
24041,San Luis Potos¡,Tanlaj s," 19,062 ",75.5
24038,San Luis Potos¡,Tampac n," 15,767 ",67.4
24039,San Luis Potos¡,Tampamol¢n Corona," 13,760 ",58.7
24031,San Luis Potos¡,Santa Catarina," 10,910 ",64.6
24026,San Luis Potos¡,San Antonio," 9,274 ",59.0
30155,Veracruz,Tantoyuca," 97,949 ",59.2
30010,Veracruz,Altotonga," 56,962 ",58.4
30058,Veracruz,Chicontepec," 55,373 ",67.9
30083,Veracruz,Ixhuatl n de Madero," 48,609 ",74.2
30047,Veracruz,Coscomatepec," 47,013 ",63.5
30023,Veracruz,Atzalan," 43,570 ",62.0
30149,Veracruz,Soteapan," 28,104 ",75.2
30025,Veracruz,Ayahualulco," 23,431 ",57.4
30159,Veracruz,Tehuipango," 20,406 ",78.5
30147,Veracruz,Soledad Atzompa," 19,189 ",64.5
30043,Veracruz,Comapa," 16,870 ",60.4
30027,Veracruz,Benito Ju rez," 16,446 ",69.9
30050,Veracruz,Coxquihui," 14,942 ",55.3
30122,Veracruz,Pajapan," 14,621 ",57.7
30063,Veracruz,Chontla," 14,549 ",62.4
30067,Veracruz,Filomeno Mata," 14,426 ",73.4
30104,Veracruz,Mecayapan," 13,633 ",61.5
